role,role_label,player,nation,original_price,refined_price,change
D,Difensore,K. Koulibaly,Senegal,11,15,4
D,Difensore,Manuel Akanji,Svizzera,11,15,4
D,Difensore,Dayot Upamecano,Francia,10,12,2
D,Difensore,J. Stanisic,Croazia,10,12,2
D,Difensore,Marc Cucurella,Spagna,10,12,2
D,Difensore,Reece James,Inghilterra,10,12,2
D,Difensore,Willian Pacho,Ecuador,10,12,2
D,Difensore,A. Laporte,Spagna,9,10,1
D,Difensore,Gonçalo Inácio,Portogallo,9,10,1
D,Difensore,José María Giménez,Uruguay,9,10,1
D,Difensore,N. Aké,Paesi Bassi,9,10,1
D,Difensore,Nicolás Otamendi,Argentina,9,10,1
D,Difensore,Piero Hincapié,Ecuador,9,10,1
D,Difensore,A. Davies,Canada,8,9,1
D,Difensore,A. Robertson,Scozia,8,9,1
D,Difensore,D. Raum,Germania,8,9,1
D,Difensore,I. Hien,Svezia,8,9,1
D,Difensore,J. Ryerson,Norvegia,8,9,1
D,Difensore,J. Stones,Inghilterra,8,9,1
D,Difensore,Joel Ordóñez,Ecuador,8,9,1
D,Difensore,Marcos Llorente,Spagna,8,9,1
D,Difensore,Nahuel Molina,Argentina,8,9,1
D,Difensore,Ronald Araujo,Uruguay,8,9,1
D,Difensore,Z. Debast,Belgio,8,9,1
D,Difensore,D. Svensson,Svezia,7,7,0
D,Difensore,Danilo,Brasile,7,7,0
D,Difensore,David Alaba,Austria,7,7,0
D,Difensore,Davinson Sánchez,Colombia,7,7,0
D,Difensore,Ezri Konsa,Inghilterra,7,7,0
D,Difensore,H. Ito,Giappone,7,7,0
D,Difensore,Kim Min-Jae,Corea del Sud,7,7,0
D,Difensore,Ladislav Krejci,Repubblica Ceca,7,7,0
D,Difensore,M. De Cuyper,Belgio,7,7,0
D,Difensore,M. Demiral,Turchia,7,7,0
D,Difensore,M. Niakhaté,Senegal,7,7,0
D,Difensore,M. Pongracic,Croazia,7,7,0
D,Difensore,Nayef Aguerd,Marocco,7,7,0
D,Difensore,Wesley,Brasile,7,7,0
D,Difensore,Wilfried Singo,Costa d'Avorio,7,7,0
D,Difensore,A. Hickey,Scozia,6,6,0
D,Difensore,A. Salah-Eddine,Marocco,6,6,0
D,Difensore,Alejandro Grimaldo,Spagna,6,6,0
D,Difensore,Bremer,Brasile,6,6,0
D,Difensore,C. Richards,Stati Uniti,6,6,0
D,Difensore,D. Cornelius,Canada,6,6,0
D,Difensore,Douglas Santos,Brasile,6,6,0
D,Difensore,Evan Ndicka,Costa d'Avorio,6,6,0
D,Difensore,Ferdi Kadıoğlu,Turchia,6,6,0
D,Difensore,Gonzalo Montiel,Argentina,6,6,0
D,Difensore,I. Jakobs,Senegal,6,6,0
D,Difensore,J. Timber,Paesi Bassi,6,6,0
D,Difensore,J. Zelený,Repubblica Ceca,6,6,0
D,Difensore,Jhon Lucumí,Colombia,6,6,0
D,Difensore,Leo Østigård,Norvegia,6,6,0
D,Difensore,Lucas Hernández,Francia,6,6,0
D,Difensore,Luka Vuskovic,Croazia,6,6,0
D,Difensore,M. Thiaw,Germania,6,6,0
D,Difensore,Mathías Olivera,Uruguay,6,6,0
D,Difensore,Maxi Araújo,Uruguay,6,6,0
D,Difensore,N. Elvedi,Svizzera,6,6,0
D,Difensore,Omar Alderete,Paraguay,6,6,0
D,Difensore,R. Bensebaini,Algeria,6,6,0
D,Difensore,Victor Lindelöf,Svezia,6,6,0
D,Difensore,Zeki Çelik,Turchia,6,6,0
D,Difensore,A. Dedić,Bosnia ed Erzegovina,5,5,0
D,Difensore,A. Khusanov,Uzbekistan,5,5,0
D,Difensore,A. Trusty,Stati Uniti,5,5,0
D,Difensore,Chancel Mbemba,Repubblica Democratica del Congo,5,5,0
D,Difensore,D. Wolfe,Norvegia,5,5,0
D,Difensore,Daniel Muñoz,Colombia,5,5,0
D,Difensore,G. Gudmundsson,Svezia,5,5,0
D,Difensore,G. Hanley,Scozia,5,5,0
D,Difensore,G. Lagerbielke,Svezia,5,5,0
D,Difensore,J. Opoku,Ghana,5,5,0
D,Difensore,Johan Vásquez,Messico,5,5,0
D,Difensore,K. Danso,Austria,5,5,0
D,Difensore,K. Laimer,Austria,5,5,0
D,Difensore,Kristoffer Ajer,Norvegia,5,5,0
D,Difensore,Krépin Diatta,Senegal,5,5,0
D,Difensore,Leonardo Balerdi,Argentina,5,5,0
D,Difensore,M. Sarr,Senegal,5,5,0
D,Difensore,Marc Guéhi,Inghilterra,5,5,0
D,Difensore,Odilon Kossounou,Costa d'Avorio,5,5,0
D,Difensore,Pervis Estupiñán,Ecuador,5,5,0
D,Difensore,R. Laryea,Canada,5,5,0
D,Difensore,Ricardo Rodríguez,Svizzera,5,5,0
D,Difensore,Robin Hranac,Repubblica Ceca,5,5,0
D,Difensore,S. McKenna,Scozia,5,5,0
D,Difensore,Stepan Chaloupek,Repubblica Ceca,5,5,0
D,Difensore,T. Meunier,Belgio,5,5,0
D,Difensore,Tomás Araújo,Portogallo,5,5,0
